Enterprise ID	Account	Team ID	Rooftop Name	Agent Opted	MRR	ARR	Stage	T1	T2	T3	Payment Score
fe7e2e8e5	Brown Daub Kia	5d2ffea9c0	Brown Daub Kia	Service Outbound	$625	$7,500	Live	no invoice raised	no invoice raised	no invoice raised	NA
fe7e2e8e5	Brown Daub Kia	5d2ffea9c0	Brown Daub Kia	Service Inbound	$625	$7,500	Live	no invoice raised	no invoice raised	no invoice raised	NA
58e0896f7	Chapman Chevrolet Buick gmc ltd.	80dc6dcf0	Chapman Chevrolet Buick gmc ltd.	Sales Inbound	$599	$7,188	Live	paid	paid	paid	Green
58e0896f7	Chapman Chevrolet Buick gmc ltd.	80dc6dcf0	Chapman Chevrolet Buick gmc ltd.	Service Inbound	$599	$7,188	Live	paid	paid	paid	Green
7d06f7427	Brandon Steven Motors	49a06313cf	Covina Kia	Sales Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	49a06313cf	Covina Kia	Service Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	49a06313cf	Covina Kia	Sales Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	49a06313cf	Covina Kia	Service Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	1a916c0965	Carson Hyundai	Sales Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	1a916c0965	Carson Hyundai	Service Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	1a916c0965	Carson Hyundai	Sales Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	1a916c0965	Carson Hyundai	Service Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	9923577d07	Honda DTLA	Service Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	9923577d07	Honda DTLA	Service Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	a0a4332434	Subaru Wichita	Sales Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	a0a4332434	Subaru Wichita	Sales Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	2b110492b6	Honda Reseda	Sales Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	2b110492b6	Honda Reseda	Service Inbound	$300	$3,600	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	2b110492b6	Honda Reseda	Sales Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
7d06f7427	Brandon Steven Motors	2b110492b6	Honda Reseda	Service Outbound	$700	$8,400	Live	overdue	paid	no invoice raised	Amber
b81a8498a	CornHusker Group	37329f9976	CornHusker Nissan	Sales Inbound	$300	$3,600	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	37329f9976	CornHusker Nissan	Sales Outbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	37329f9976	CornHusker Nissan	Service Inbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	37329f9976	CornHusker Nissan	Service Outbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3f96401f8d	Courtesy Ford	Sales Inbound	$300	$3,600	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3f96401f8d	Courtesy Ford	Sales Outbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3f96401f8d	Courtesy Ford	Service Inbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3f96401f8d	Courtesy Ford	Service Outbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3b8dee0632	CornHusker Auto Center	Sales Inbound	$300	$3,600	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3b8dee0632	CornHusker Auto Center	Sales Outbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3b8dee0632	CornHusker Auto Center	Service Inbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
b81a8498a	CornHusker Group	3b8dee0632	CornHusker Auto Center	Service Outbound	$400	$4,800	Live	paid	paid	no invoice raised	Green
d8daf6754	Habberstad Group	03f8bdc40c	Habberstad Group	Service Inbound	$1,000	$12,000	Live	no invoice raised	no invoice raised	no invoice raised	NA
c946af83e	Zeigler Hyundai of Racine	f618492d10	Zeigler Hyundai of Racine	Sales Inbound	$463	$5,550	Live	no invoice raised	no invoice raised	no invoice raised	NA
c946af83e	Zeigler Hyundai of Racine	f618492d10	Zeigler Hyundai of Racine	Sales Outbound	$463	$5,550	Live	no invoice raised	no invoice raised	no invoice raised	NA
c946af83e	Zeigler Hyundai of Racine	f618492d10	Zeigler Hyundai of Racine	Service Inbound	$463	$5,550	Live	no invoice raised	no invoice raised	no invoice raised	NA
c946af83e	Zeigler Hyundai of Racine	f618492d10	Zeigler Hyundai of Racine	Service Outbound	$463	$5,550	Live	no invoice raised	no invoice raised	no invoice raised	NA
657a8c4e2	Auto Depot Of Navarre	b75e784fa2	Auto Depot Of Navarre	Sales Inbound	$1,000	$12,000	Live	no invoice raised	no invoice raised	no invoice raised	NA
6add25efd	Vatland Auto Group	e05e67affb	Vatland Honda	Sales Inbound	$800	$9,600	Live	paid	paid	paid	Green
6add25efd	Vatland Auto Group	e05e67affb	Vatland Honda	Sales Outbound	$800	$9,600	Live	paid	paid	paid	Green
90fb7ed36	Grace Quality Used Cars, Inc	ee805e22bd	Grace auto group	Sales Inbound	$999	$11,988	Live	no invoice raised	no invoice raised	no invoice raised	NA
90fb7ed36	Grace Quality Used Cars, Inc	ee805e22bd	Grace auto group	Sales Outbound	$999	$11,988	Live	no invoice raised	no invoice raised	no invoice raised	NA
6c19cc7c4	Super Autos Miami	7fb99e6ee1	Super Autos Miami	Sales Inbound	$749	$8,988	Live	no invoice raised	no invoice raised	no invoice raised	NA
6c19cc7c4	Super Autos Miami	7fb99e6ee1	Super Autos Miami	Sales Outbound	$749	$8,988	Live	no invoice raised	no invoice raised	no invoice raised	NA
9bc114fc6	PalmEasy Motors PA LLC	5a4c21a96f	PalmEasy Motors PA LLC	Sales Inbound	$850	$10,200	Live	no invoice raised	no invoice raised	no invoice raised	NA
9bc114fc6	PalmEasy Motors PA LLC	5a4c21a96f	PalmEasy Motors PA LLC	Service Inbound	$850	$10,200	Live	no invoice raised	no invoice raised	no invoice raised	NA
9d4468871	Dutch Miller Auto Group	e08ec18b4f	Dutch Miller Kia Charlotte	Sales Inbound	$1,250	$15,000	Live	no invoice raised	no invoice raised	no invoice raised	NA
9d4468871	Dutch Miller Auto Group	e08ec18b4f	Dutch Miller Kia Charlotte	Sales Outbound	$1,500	$18,000	Live	no invoice raised	no invoice raised	no invoice raised	NA
9d4468871	Dutch Miller Auto Group	e08ec18b4f	Dutch Miller Kia Charlotte	Service Inbound	$1,500	$18,000	Live	no invoice raised	no invoice raised	no invoice raised	NA
82255fce5	Toronto Honda	26fe9492b9	Toronto Honda	Service Inbound	$800	$9,600	Live	overdue	paid	paid	Amber
82255fce5	Toronto Honda	26fe9492b9	Toronto Honda	Service Outbound	$800	$9,600	Live	overdue	paid	paid	Amber
